order_id,sno,order_item_id,instruction,cat,meat,rice,additional,daigs,rate,net
22,1,1,,CAT,24,24,0,1,650,15600
22,2,30,,CAT,5,5,0,1,900,4500
23,1,1,,CAT,12,8,0,1,750,6000
23,2,33,,CAT,6,6,0,1,300,1800
23,3,55,,CAT,2,2,0,1,180,360
24,1,672,,PARTY,1,4,0,1,500,2000
25,1,534,,PARTY,13,9,0,1,450,4050
25,2,12,,PARTY,14,14,0,1,350,4900
25,3,30,,CAT,4,4,0,1,900,3600
25,4,53,,CAT,3,3,0,1,120,360
25,5,51,,CAT,8,8,0,1,210,1680
25,6,55,,CAT,3,3,0,1,180,540
25,7,360,,CAT,2,2,0,1,600,1200
26,1,542,,PARTY,7.5,5,0,1,470,2350
26,2,285,,PARTY,4,4,0,1,350,1400
26,3,294,,PARTY,7,7,0,1,400,2800
26,4,330,,PARTY,7,7,0,1,400,2800
26,5,47,,CAT,3,3,0,1,350,1050
26,6,83,,CAT,6,6,0,1,400,2400
26,7,529,,CAT,12,12,0,1,8,96
26,8,563,,CAT,1,1,0,1,300,300
26,9,55,,CAT,1,1,0,1,180,180
27,1,1,,CAT,12,12,0,1,650,7800
27,2,30,,CAT,5,5,0,1,900,4500
27,3,55,,CAT,3,3,0,1,180,540
28,1,1,,CAT,63,42,0,1,750,31500
28,2,513,,CAT,72,72,0,1,550,39600
28,3,87,,CAT,145,145,0,1,240,34800
28,4,263,,CAT,1800,1800,0,1,12,21600
28,5,101,,CAT,600,600,0,1,35,21000
28,6,682,,CAT,100,100,0,1,500,50000
28,7,53,,CAT,18,18,0,1,120,2160
28,8,51,,CAT,42,42,0,1,210,8820
28,9,55,,CAT,18,18,0,1,180,3240
28,10,54,,CAT,600,600,0,1,10,6000
29,1,66,,CAT,45,45,0,1,1350,60750
29,2,340,,CAT,60,60,0,1,700,42000
29,3,175,,CAT,60,60,0,1,1150,69000
29,4,574,,CAT,350,350,0,1,45,15750
29,5,350,EXT,CAT,350,350,0,1,150,52500
29,6,140,,CAT,2,2,0,1,3500,7000
29,7,55,,CAT,7,7,0,1,180,1260
29,8,310,,CAT,4,4,0,1,2500,10000
29,9,117,,CAT,450,450,0,1,0,0
29,10,316,,CAT,18,18,0,1,240,4320
30,1,1,,CAT,7.5,6,0,1,700,4200
30,2,571,,CAT,70,70,0,1,60,4200
31,1,1,,CAT,15,10,0,1,750,7500
31,2,30,,CAT,3,3,0,1,900,2700
32,1,522,,CAT,12,12,0,1,670,8040
32,2,130,,CAT,18,18,0,1,1200,21600
32,3,571,,CAT,62,62,0,1,60,3720
32,4,614,,CAT,10,10,0,1,200,2000
32,5,621,,CAT,2,2,0,1,400,800
33,1,522,,CAT,13.5,13.5,0,1,620,8370
33,2,571,,CAT,40,40,0,1,60,2400
33,3,614,,CAT,12,12,0,1,200,2400
34,1,522,,CAT,7.5,7.5,0,1,620,4650
34,2,571,,CAT,30,30,0,1,60,1800
34,3,614,,CAT,4,4,0,1,200,800
35,1,375,,CAT,4,4,0,1,1000,4000
35,2,673,,CAT,6,6,0,1,660,3960
36,1,87,,CAT,530,530,0,1,280,148400
37,1,361,,CAT,22.5,15,0,1,1170,17550
37,2,16,,CAT,1,25,0,1,500,12500
37,3,717,,CAT,1,55,0,1,550,30250
37,4,80,,CAT,35,35,0,1,400,14000
37,5,53,,CAT,7,7,0,1,120,840
37,6,51,,CAT,15,15,0,1,210,3150
37,7,55,,CAT,6,6,0,1,180,1080
37,8,54,,CAT,200,200,0,1,10,2000
38,1,210,,PARTY,2,2,0,1,750,1500
39,1,522,,CAT,12.5,12.5,0,1,620,7750
40,1,522,,CAT,12.75,12.75,0,1,670,8542
40,2,130,,CAT,19.5,19.5,0,1,1200,23400
40,3,571,,CAT,37,37,0,1,60,2220
40,4,405,,CAT,2,2,0,1,650,1300
41,1,375,,CAT,3.5,3.5,0,1,1000,3500
41,2,673,,CAT,6,6,0,1,660,3960
42,1,522,,CAT,19,19,0,1,620,11780
42,2,405,,CAT,1,1,0,1,650,650
43,1,673,,CAT,16.5,11,0,1,815,8965
43,2,526,,CAT,24,24,0,1,950,22800
43,3,548,,CAT,38,38,0,1,400,15200
43,4,47,,CAT,25,25,0,1,300,7500
43,5,83,,CAT,18,18,0,1,400,7200
43,6,55,,CAT,5,5,0,1,180,900
43,7,54,,CAT,150,150,0,1,10,1500
43,8,580,,CAT,1,1,0,1,3200,3200
44,1,591,,CAT,27,27,0,1,180,4860
44,2,597,,CAT,21,21,0,1,50,1050
45,1,361,,CAT,7.5,5,0,1,1170,5850
45,2,361,,CAT,52.5,35,0,1,1170,40950
45,3,246,,CAT,35,35,0,1,830,29050
45,4,513,,CAT,35,35,0,1,550,19250
45,5,717,,CAT,140,140,0,1,550,77000
45,6,574,,CAT,550,550,0,1,45,24750
45,7,697,,CAT,80,80,0,1,300,24000
45,8,51,,CAT,35,35,0,1,210,7350
45,9,140,,CAT,2,2,0,1,3500,7000
45,10,55,,CAT,12,12,0,1,180,2160
45,11,80,,CAT,65,65,0,1,400,26000
45,12,100,,CAT,6,6,0,1,1200,7200
46,1,673,,PARTY,1,10,0,1,500,5000
46,2,217,,CAT,3,3,0,1,550,1650
47,1,522,,CAT,12,8,0,1,820,6560
48,1,522,,CAT,9.5,9.5,0,1,620,5890
48,2,571,,CAT,30,30,0,1,60,1800
48,3,4,,CAT,12,12,0,1,650,7800
49,1,375,,CAT,3.5,3.5,0,1,1000,3500
49,2,673,,CAT,9,9,0,1,650,5850
50,1,522,,CAT,23.5,23.5,0,1,620,14570
50,2,405,,CAT,1,1,0,1,650,650
50,3,571,,CAT,25,25,0,1,60,1500
51,1,522,,CAT,13.5,13.5,0,1,670,9045
51,2,405,,CAT,2,2,0,1,650,1300
51,3,657,,CAT,8.5,8.5,0,1,450,3825
51,4,504,,CAT,200,200,0,1,4,800
51,5,130,,CAT,16.5,16.5,0,1,1200,19800
52,1,283,,PARTY,5,5,0,1,400,2000
52,2,743,,CAT,6,6,0,1,950,5700
52,3,535,,CAT,3,3,0,1,1400,4200
52,4,604,,CAT,8,8,0,1,700,5600
53,1,522,,CAT,23.75,23.75,0,1,620,14725
53,2,405,,CAT,1,1,0,1,650,650
53,3,571,,CAT,40,40,0,1,60,2400
53,4,614,,CAT,8,8,0,1,200,1600
54,1,522,,CAT,12.75,12.75,0,1,620,7905
55,1,375,,CAT,3.5,3.5,0,1,1000,3500
55,2,673,,CAT,6,6,0,1,660,3960
56,1,522,,CAT,13,13,0,1,670,8710
56,2,130,,CAT,16.5,16.5,0,1,1200,19800
56,3,405,,CAT,2,2,0,1,650,1300
56,4,504,,CAT,200,200,0,1,4,800
56,5,571,,CAT,55,55,0,1,60,3300
56,6,614,,CAT,8,8,0,1,200,1600
56,7,621,,CAT,4,4,0,1,400,1600
57,1,53,,CAT,2,2,0,1,120,240
57,2,51,,CAT,3,3,0,1,210,630
57,3,47,,CAT,6,6,0,1,350,2100
57,4,55,,CAT,2,2,0,1,180,360
57,5,80,,CAT,10,10,0,1,450,4500
57,6,133,,CAT,10,10,0,1,750,7500
57,7,64,,CAT,1,1,0,1,3500,3500
57,8,1,,CAT,10.5,7,0,1,750,5250
57,9,66,,CAT,8,8,0,1,1350,10800
57,10,460,,CAT,10,10,0,1,600,6000
58,1,522,,CAT,5,5,0,1,670,3350
58,2,38,,CAT,4,4,0,1,450,1800
59,1,682,,CAT,8,8,0,1,550,4400
59,2,14,,PARTY,6,6,0,1,350,2100
59,3,55,,CAT,1,1,0,1,180,180
59,4,100,,CAT,1,1,0,1,1200,1200
59,5,542,,PARTY,1,8,0,1,470,3760
59,6,263,,CAT,150,150,0,1,10,1500
59,7,636,,CAT,1,1,0,1,500,500
60,1,522,,CAT,12,8,0,1,770,6160
61,1,140,,CAT,1,1,0,1,4500,4500
61,2,148,,PARTY,30,30,0,1,350,10500
61,3,405,,CAT,2,2,0,1,650,1300
61,4,83,,CAT,9,9,0,1,400,3600
62,1,1,,CAT,7,7,0,1,650,4550
63,1,360,,CAT,1,1,0,1,600,600
63,2,55,,CAT,1.5,1.5,0,1,180,270
63,3,522,,CAT,9,6,0,1,770,4620
64,1,542,,PARTY,14,10,0,1,470,4700
65,1,1,,CAT,12,12,0,1,650,7800
65,2,33,,CAT,5,5,0,1,300,1500
66,1,130,,CAT,5,5,0,1,1800,9000
66,2,517,,CAT,15,15,0,1,1450,21750
66,3,161,,CAT,15,15,0,1,1250,18750
66,4,719,"ARBIAN BOTI",CAT,16,16,0,1,800,12800
66,5,47,,CAT,14,14,0,1,350,4900
66,6,86,,CAT,8,8,0,1,300,2400
66,7,54,,CAT,80,80,0,1,10,800
66,8,55,,CAT,2,2,0,1,180,360
66,9,168,,CAT,80,80,0,1,0,0
66,10,140,,CAT,1,1,0,1,3500,3500
66,11,101,,CAT,80,80,0,1,50,4000
66,12,57,,CAT,3,3,0,1,400,1200
66,13,713,,CAT,1,1,0,1,400,400
67,1,522,,CAT,12.75,12.75,0,1,620,7905
67,2,571,,CAT,29,29,0,1,60,1740
68,1,522,,CAT,14,14,0,1,670,9380
68,2,130,,CAT,24,24,0,1,1200,28800
68,3,405,,CAT,2,2,0,1,650,1300
68,4,614,,CAT,50,50,0,1,10,500
68,5,504,,CAT,400,400,0,1,4,1600
68,6,654,,CAT,2,2,0,1,85,170
69,1,522,,CAT,33.5,33.5,0,1,620,20770
69,2,742,,CAT,7,7,0,1,1000,7000
69,3,405,,CAT,1,1,0,1,650,650
70,1,518,,PARTY,7.5,5,0,1,450,2250
70,2,187,,CAT,4,4,0,1,500,2000
71,1,80,,CAT,6,6,0,1,450,2700
72,1,518,,CAT,7.5,5,0,1,1170,5850
72,2,28,,CAT,30,30,0,1,40,1200
72,3,55,,CAT,1,1,0,1,180,180
72,4,83,,CAT,5,5,0,1,400,2000
73,1,522,,CAT,11,11,0,1,620,6820
73,2,361,,CAT,14,14,0,1,900,12600
73,3,571,,CAT,34,34,0,1,60,2040
74,1,522,,CAT,20.25,20.25,0,1,670,13568
74,2,130,,CAT,24,24,0,1,1200,28800
74,3,405,,CAT,2,2,0,1,650,1300
75,1,522,,CAT,31.75,31.75,0,1,620,19685
75,2,375,,CAT,6.75,6.75,0,1,1000,6750
75,3,405,,CAT,1,1,0,1,650,650
75,4,571,,CAT,50,50,0,1,60,3000
75,5,614,,CAT,15,15,0,1,200,3000
76,1,140,,CAT,1,1,0,1,3500,3500
76,2,53,,CAT,15,15,0,1,120,1800
76,3,361,,CAT,25,20,0,1,1050,21000
76,4,30,,CAT,6,6,0,1,900,5400
76,5,17,,CAT,25,25,0,1,780,19500
77,1,517,,PARTY,6,6,0,1,350,2100
78,1,66,,CAT,5,5,0,1,1350,6750
79,1,1,"Chat Pati",CAT,20,20,0,1,650,13000
80,1,522,"Mirch Kam,Spicy",CAT,22.5,15,0,1,770,11550
80,2,187,,CAT,18,18,0,1,500,9000
80,3,563,,CAT,3,3,0,1,300,900
80,4,55,,CAT,3,3,0,1,180,540
81,1,522,,PARTY,8,8,0,1,470,3760
81,2,217,,CAT,3,3,0,1,550,1650
82,1,522,,CAT,28.5,28.5,0,1,620,17670
82,2,375,,CAT,7,7,0,1,1000,7000
82,3,405,,CAT,1,1,0,1,650,650
83,1,522,,CAT,14.25,14.25,0,1,620,8835
84,1,522,,CAT,22.75,22.75,0,1,670,15242
84,2,130,,CAT,22.5,22.5,0,1,1200,27000
84,3,405,,CAT,2,2,0,1,650,1300
84,4,571,,CAT,38,38,0,1,60,2280
84,5,614,,CAT,8,8,0,1,200,1600
84,6,621,,CAT,2,2,0,1,400,800
84,7,504,,CAT,200,200,0,1,4,800
84,8,654,,CAT,3,3,0,1,85,255
85,1,361,,CAT,12.5,10,0,1,1050,10500
85,2,30,,CAT,3,3,0,1,900,2700
85,3,217,,CAT,2,2,0,1,600,1200
85,4,118,,CAT,1,1,0,1,3500,3500
86,1,217,,CAT,1,1,0,1,550,550
87,1,13,,CAT,8,8,0,1,500,4000
87,2,518,,CAT,7.5,5,0,1,1170,5850
87,3,511,,CAT,2,2,0,1,900,1800
87,4,53,,CAT,2,2,0,1,120,240
87,5,316,,CAT,5,5,0,1,240,1200
88,1,361,,CAT,57,38,0,1,1170,44460
88,2,513,,CAT,60,60,0,1,550,33000
88,3,717,,CAT,145,145,0,1,500,72500
88,4,83,,CAT,66,66,0,1,450,29700
88,5,316,,CAT,40,40,0,1,240,9600
88,6,53,,CAT,20,20,0,1,120,2400
88,7,55,,CAT,10,10,0,1,180,1800
88,8,360,,CAT,6,6,0,1,700,4200
89,1,1,,CAT,18,12,0,1,750,9000
89,2,47,,CAT,25,25,0,1,250,6250
89,3,55,,CAT,3,3,0,1,180,540
89,4,54,,CAT,160,160,0,1,10,1600
89,5,697,,CAT,36,36,0,1,300,10800
89,6,82,,CAT,35,35,0,1,600,21000
90,1,673,,CAT,6,4,0,1,850,3400
90,2,228,,CAT,3,3,0,1,650,1950
90,3,55,,CAT,1,1,0,1,180,180
90,4,563,,CAT,1,1,0,1,300,300
91,1,130,,CAT,0.5,0.5,0,1,1800,900
92,1,88,,PARTY,58,58,0,1,350,20300
93,1,210,,PARTY,4,4,0,1,600,2400
94,1,522,,CAT,9.5,9.5,0,1,620,5890
94,2,571,,CAT,30,30,0,1,60,1800
94,3,614,,CAT,4,4,0,1,200,800
95,1,522,,CAT,20.75,20.75,0,1,670,13902
95,2,130,,CAT,24,24,0,1,1200,28800
95,3,571,,CAT,110,110,0,1,60,6600
95,4,614,,CAT,8,8,0,1,200,1600
95,5,621,,CAT,4,4,0,1,400,1600
95,6,504,,CAT,200,200,0,1,4,800
95,7,405,,CAT,2,2,0,1,650,1300
96,1,522,,CAT,19,19,0,1,620,11780
96,2,375,,CAT,3.5,3.5,0,1,1000,3500
96,3,405,,CAT,1,1,0,1,650,650
96,4,571,,CAT,60,60,0,1,60,3600
96,5,614,,CAT,15,15,0,1,200,3000
97,1,5,,CAT,7.5,5,0,1,1800,9000
97,2,13,,CAT,8,8,0,1,500,4000
97,3,153,,CAT,12,12,0,1,1200,14400
97,4,55,,CAT,2,2,0,1,200,400
97,5,53,,CAT,3,3,0,1,120,360
97,6,51,,CAT,4,4,0,1,210,840
97,7,170,,CAT,24,24,0,1,50,1200
97,8,187,,CAT,10,10,0,1,500,5000
97,9,563,,CAT,2,2,0,1,300,600
97,10,555,,CAT,50,50,0,1,10,500
98,1,1,,CAT,48,32,0,1,750,24000
98,2,511,,CAT,7,7,0,1,900,6300
99,1,522,"Chat Pati,Spicy",CAT,12,12,0,1,670,8040
100,1,522,,CAT,23.75,23.75,0,1,620,14725
100,2,375,,CAT,7,7,0,1,1000,7000
100,3,405,,CAT,1,1,0,1,650,650
101,1,522,,CAT,12.75,12.75,0,1,670,8542
101,2,130,,CAT,12,12,0,1,1200,14400
101,3,405,,CAT,2,2,0,1,650,1300
101,4,657,,CAT,3,3,0,1,450,1350
101,5,504,,CAT,300,300,0,1,5,1500
102,1,522,,CAT,14.75,14.75,0,1,620,9145
102,2,571,,CAT,30,30,0,1,60,1800
102,3,614,,CAT,4,4,0,1,200,800
103,1,522,"MIRCH KAM,SPICY",CAT,42,28,0,1,770,21560
103,2,66,,CAT,50,50,0,1,1350,67500
103,3,55,,CAT,10,10,0,1,180,1800
103,4,310,,CAT,4,4,0,1,2500,10000
103,5,140,,CAT,2,2,0,1,3500,7000
103,6,316,,CAT,25,25,0,1,240,6000
103,7,697,,CAT,70,70,0,1,300,21000
103,8,107,,CAT,30,30,0,1,360,10800
103,9,548,,CAT,110,110,0,1,450,49500
103,10,721,,CAT,650,650,0,1,30,19500
104,1,522,,CAT,12,12,0,1,670,8040
104,2,130,,CAT,18,18,0,1,1200,21600
104,3,405,,CAT,2,2,0,1,650,1300
104,4,617,,CAT,2,2,0,1,200,400
104,5,653,,CAT,5,5,0,1,135,675
105,1,522,,CAT,13.5,13.5,0,1,620,8370
105,2,571,,CAT,20,20,0,1,60,1200
105,3,4,,CAT,14,14,0,1,600,8400
105,4,614,,CAT,3,3,0,1,200,600
106,1,522,,CAT,27,27,0,1,620,16740
106,2,375,,CAT,8,8,0,1,1000,8000
106,3,405,,CAT,1,1,0,1,650,650
106,4,571,,CAT,50,50,0,1,60,3000
106,5,614,,CAT,15,15,0,1,200,3000
107,1,1,,CAT,10,10,0,1,650,6500
108,1,673,,CAT,10,10,0,1,850,8500
108,2,217,,CAT,2,2,0,1,550,1100
109,1,13,,CAT,5,5,0,1,500,2500
109,2,53,,CAT,6,6,0,1,120,720
110,1,522,,CAT,16.5,16.5,0,1,670,11055
110,2,130,,CAT,13.5,13.5,0,1,1200,16200
110,3,405,,CAT,2,2,0,1,650,1300
110,4,504,,CAT,400,400,0,1,4,1600
110,5,614,,CAT,50,50,0,1,10,500
110,6,571,,CAT,23,23,0,1,60,1380
110,7,614,,CAT,5,5,0,1,200,1000
111,1,522,,CAT,13.75,13.75,0,1,620,8525
112,1,522,,CAT,28.5,28.5,0,1,620,17670
112,2,375,,CAT,7,7,0,1,1000,7000
112,3,405,,CAT,1,1,0,1,650,650
112,4,571,,CAT,31,31,0,1,60,1860
112,5,614,,CAT,3,3,0,1,200,600
113,1,361,SPICY,CAT,30,20,0,1,1170,23400
113,2,16,,CAT,30,30,0,1,500,15000
113,3,53,,CAT,8,8,0,1,120,960
113,4,51,,CAT,15,15,0,1,210,3150
113,5,54,,CAT,200,200,0,1,10,2000
113,6,55,,CAT,6,6,0,1,180,1080
113,7,682,,CAT,35,35,0,1,550,19250
114,1,87,,CAT,200,200,0,1,260,52000
115,1,87,,CAT,150,150,0,1,260,39000
116,1,522,Rasili,CAT,7.5,5,0,1,770,3850
117,1,682,,CAT,45,45,0,1,80,3600
118,1,688,,CAT,1,1,0,1,550,550
119,1,130,,CAT,3,3,0,1,1800,5400
119,2,21,,CAT,5,5,0,1,550,2750
119,3,128,,CAT,3,3,0,1,600,1800
119,4,53,,CAT,3,3,0,1,120,360
120,1,130,,CAT,1,1,0,1,1800,1800
121,1,522,"Rang Kam",CAT,12,8,0,1,770,6160
122,1,522,,PARTY,10,10,0,1,470,4700
123,1,182,,PARTY,1,2,0,1,650,1300
123,2,228,,PARTY,2,2,0,1,400,800
123,3,33,,CAT,3,3,0,1,400,1200
124,1,522,,CAT,13.75,13.75,0,1,620,8525
124,2,571,,CAT,50,50,0,1,60,3000
124,3,614,,CAT,4,4,0,1,200,800
125,1,522,,CAT,17.5,17.5,0,1,670,11725
125,2,130,,CAT,15,15,0,1,1200,18000
125,3,405,,CAT,2,2,0,1,650,1300
125,4,571,,CAT,95,95,0,1,60,5700
125,5,614,,CAT,6,6,0,1,200,1200
125,6,621,,CAT,2,2,0,1,400,800
125,7,504,,CAT,200,200,0,1,4,800
125,8,655,,CAT,20,20,0,1,35,700
126,1,522,,CAT,21,21,0,1,620,13020
126,2,375,,CAT,7,7,0,1,1000,7000
126,3,405,,CAT,1,1,0,1,650,650
126,4,571,,CAT,60,60,0,1,60,3600
126,5,614,,CAT,12,12,0,1,200,2400
127,1,522,,CAT,3.5,5,0,1,610,3050
128,1,2,,PARTY,4.5,3,0,1,450,1350
128,2,66,,PARTY,4,4,0,1,400,1600
128,3,623,,CAT,9,9,0,1,700,6300
128,4,306,,CAT,60,60,0,1,15,900
128,5,134,,CAT,70,70,0,1,40,2800
129,1,400,,CAT,6,6,0,1,550,3300
130,1,87,"BALTI 5 KG",CAT,60,60,0,1,300,18000
130,2,87,"KASHIF FOOD",CAT,10,10,0,1,300,3000
131,1,83,,CAT,5,5,0,1,400,2000
132,1,511,,CAT,1.5,1.5,0,1,900,1350
132,2,522,,CAT,4.5,3,0,1,870,2610
132,3,13,,CAT,4,4,0,1,600,2400
133,1,1,"Darmiana Masala,Mirch Kam",CAT,9,6,0,1,750,4500
133,2,1,Spicy,CAT,9,6,0,1,750,4500
134,1,66,,PARTY,12,12,0,1,350,4200
134,2,541,,CAT,14,14,0,1,150,2100
134,3,187,,CAT,10,10,0,1,500,5000
135,1,530,,PARTY,6,4,0,1,450,1800
136,1,522,,CAT,12.75,12.75,0,1,620,7905
137,1,522,,CAT,19.25,19.25,0,1,670,12898
137,2,130,,CAT,19.5,19.5,0,1,1200,23400
137,3,405,,CAT,2,2,0,1,650,1300
137,4,504,,CAT,200,200,0,1,4,800
138,1,522,,CAT,33.5,33.5,0,1,620,20770
138,2,375,,CAT,7,7,0,1,1000,7000
138,3,405,,CAT,1,1,0,1,650,650
138,4,571,,CAT,60,60,0,1,60,3600
138,5,614,,CAT,12,12,0,1,200,2400
138,6,628,,CAT,25,25,0,1,60,1500
138,7,614,,CAT,6,6,0,1,200,1200
139,1,1,,CAT,6,4,0,1,750,3000
140,1,1,,CAT,8.75,7,0,1,700,4900
140,2,33,,CAT,5,5,0,1,300,1500
140,3,55,,CAT,1.5,1.5,0,1,180,270
140,4,563,,CAT,2,2,0,1,300,600
140,5,97,"ONLY WHITE",CAT,2.5,2.5,0,1,600,1500
141,1,130,"CHAT PATI",CAT,2,2,0,1,1800,3600
142,1,1,,CAT,15,10,0,1,750,7500
142,2,30,,CAT,3,3,0,1,900,2700
143,1,522,,CAT,7.5,5,0,1,770,3850
144,1,87,,CAT,5,5,0,1,300,1500
145,1,2,,PARTY,7.5,5,0,1,450,2250
145,2,55,,CAT,1.5,1.5,0,1,180,270
146,1,196,,CAT,7,7,0,1,1400,9800
146,2,53,,CAT,8,8,0,1,120,960
146,3,30,,CAT,2,2,0,1,900,1800
147,1,522,,CAT,17.5,17.5,0,1,620,10850
147,2,571,,CAT,30,30,0,1,60,1800
147,3,614,,CAT,3,3,0,1,200,600
148,1,522,,CAT,16.5,16.5,0,1,670,11055
148,2,130,,CAT,18,18,0,1,1200,21600
148,3,405,,CAT,2,2,0,1,650,1300
148,4,657,,CAT,9,9,0,1,450,4050
148,5,504,,CAT,200,200,0,1,4,800
148,6,571,,CAT,30,30,0,1,60,1800
148,7,614,,CAT,5,5,0,1,200,1000
148,8,621,,CAT,3,3,0,1,400,1200
149,1,522,,CAT,33.25,33.25,0,1,620,20615
149,2,405,,CAT,1,1,0,1,650,650
149,3,375,,CAT,3.5,3.5,0,1,1000,3500
150,1,130,,CAT,2,2,0,1,1800,3600
150,2,621,,CAT,3,3,0,1,500,1500
151,1,522,,CAT,10,10,0,1,670,6700
152,1,87,,CAT,50,50,0,1,300,15000
153,1,13,,CAT,16,16,0,1,500,8000
153,2,53,,CAT,15,15,0,1,120,1800
154,1,130,,CAT,1,1,0,1,1800,1800
155,1,522,,CAT,7.75,7.75,0,1,620,4805
155,2,571,,CAT,25,25,0,1,60,1500
155,3,614,,CAT,4,4,0,1,200,800
156,1,522,,CAT,16.25,16.25,0,1,670,10888
156,2,130,,CAT,17,17,0,1,1200,20400
156,3,614,,CAT,50,50,0,1,10,500
156,4,653,,CAT,5,5,0,1,135,675
156,5,405,,CAT,1,1,0,1,650,650
156,6,621,,CAT,50,50,0,1,11,550
157,1,522,,CAT,14.5,14.5,0,1,620,8990
157,2,375,,CAT,3.5,3.5,0,1,1000,3500
157,3,571,,CAT,60,60,0,1,60,3600
158,1,87,,CAT,60,60,0,1,300,18000
159,1,1,,CAT,7.5,5,0,1,750,3750
160,1,87,,CAT,30,30,0,1,265,7950
161,1,542,,CAT,12.5,10,0,1,1070,10700
161,2,53,,CAT,2,2,0,1,120,240
161,3,51,,CAT,4,4,0,1,210,840
161,4,12,,PARTY,10,10,0,1,350,3500
162,1,87,,CAT,45,45,0,1,300,13500
163,1,361,,CAT,15,10,0,1,1170,11700
163,2,182,,CAT,165,110,0,1,1850,203500
163,3,12,,CAT,20,20,0,1,1350,27000
163,4,511,,CAT,50,50,0,1,900,45000
163,5,541,,CAT,5,5,0,1,150,750
164,1,15,,CAT,10,10,0,1,1350,13500
164,2,511,,CAT,16,16,0,1,900,14400
164,3,511,,CAT,24,24,0,1,900,21600
164,4,520,,CAT,75,50,0,1,1220,61000
164,5,520,,CAT,105,70,0,1,1220,85400
164,6,541,,CAT,6,6,0,1,150,900
165,1,30,"Metha Darmiyana",CAT,2,2,0,1,900,1800
165,2,1,"Mirch Kam",CAT,5,5,0,1,650,3250
166,1,522,,CAT,14.25,14.25,0,1,620,8835
166,2,648,,CAT,2,2,0,1,2500,5000
167,1,522,,CAT,13,13,0,1,670,8710
167,2,130,,CAT,13.5,13.5,0,1,1200,16200
167,3,405,,CAT,2,2,0,1,650,1300
167,4,504,,CAT,200,200,0,1,4,800
167,5,621,,CAT,200,200,0,1,11,2200
167,6,571,,CAT,30,30,0,1,60,1800
167,7,614,,CAT,4,4,0,1,200,800
167,8,621,,CAT,3,3,0,1,400,1200
168,1,522,,CAT,23.75,23.75,0,1,620,14725
168,2,375,,CAT,7.5,7.5,0,1,1000,7500
