account_no,name,phone,address,city,opening_credit,opening_debit
2010020193,"BBQ AKHTAR ( AL MADINA )",03069492600,,,227760,0
2010020194,"A-ONE TANDOOR PALACE 03332154276",03332154276,,,0,0
2010020195,"GALLERY OF FOODS ALI DESSERT BAR",,,,0,0
2010020196,"ADEEL RICE",,,,0,2000000
2010020197,"AA SEA FOOD",,,,0,0
2010020198,"BURHAN LPG CYLENDER GAS",,,,0,0
2010020199,"MAAN FOODS",,,,0,0
2010020200,"MANAMA BACKERS",,,,0,0
2010020201,"KASHIF BHAI ( AB )",,,,1855000,0
2010020202,"EMPLOY OLD AGE BENIFIT",,,,0,0
2010020203,CLOSE,,,,0,0
2010020204,"MILLENNIUM JUICE",,,,0,0
2010020205,"FARHAN HALEEM",,,,0,0
2010020206,"KALEEM QULFI",,,,0,0
2010020207,"ZAKIR PANI PURI",,,,0,0
2010020208,"ABDUL HAI ( TESTY CHAT)",,,,0,0
2010020209,"TESTY NIMCO (YOUSUF)",,,,0,0
2010020210,"M -KHIZAR KHOYA",,,,0,0
2010020211,"SHANDUR SALAD & DESSERTS (FIDA HUSSAIN)",,,,0,6500
2010020212,"UNIVERSAL SEVICES",,,,0,0
2010020213,"HANIF PAN SHOP",,,,0,0
2010020214,"AHMER KACHORI",,,,0,0
2010020215,"AL KABUL SHINWARI (BBQ) (MR YOUNUS)",,,,0,0
2010020216,"IMTIAZ BBQ",,,,0,0
2010020217,"UMER MEAT & FISH (YASIR BEEF)",,,,0,0
2010020218,"AL MAEDAT ICE CREAM",,,,0,0
2010020219,"HAJI NAEEM AZAD BUN KABAB",,,,0,0
2010020220,"TASTY DOSA",,,,0,0
2010020222,"HABIBIA RICE & OIL",,,,0,0
2010020223,"MAZHAR BALOON",,,,0,0
2010020224,"ASHAD BEEF",,,,0,0
2010020225,"FAISAL BHAI (OIL)",,,,0,0
2010020226,"AL MITANI MILK & CURD",,,,0,0
2010020227,"IMPRIAL SUITTING CORNNER",,,,0,0
2010020228,"SHABBIR DECORATION",,,,0,0
2010020229,"YOUNUS CHICKEN",,,,0,0
2010020230,"KHATRI FOOD STREET ( HASEEB)",,,,0,0
2010020231,"RIAZ DECORATION",,,,0,0
2010020232,"ZAMEER MUTTON -GLUB MEHAL",,,,0,0
2010020233,"ANNAFAY TRADERS",,,,0,0
2010020234,"MISBHA BHAI (BEVEARGES)",,,,0,0
2010020235,"S.S SECURITY PVT",,,,0,0
2010020236,"EXCLUSIVE SALMAN BHAI (WONTON)",,,,0,0
2010020237,"MALIK SHEERMAL HOUSE",,,,0,0
2010020238,"NASEEM LIVE KARAHI",,,,0,0
2010020239,"RIDAN MANDI (KUNAFA)",,,,0,0
2010020240,"AL BAIK CATERING & EVENT (NASEEB KARAHI)",,,,0,0
2010020242,"AA DISTRIBUTOR (SHAFAQ OIL)",,,,0,0
2010020243,"SHAHBAZ DISNY THEATRE",,,,0,0
2010020244,"MADINA BEEF CORNER",,,,0,0
2010020245,"ABDUL HADI CHINES",,,,0,0
2010020246,"TASTY FRESH",,,,0,0
2010020247,"CASH PURCHASE",,,,0,0
2010020248,"TISSUE PAPER PRINTING(ASLAM KHAN)",,,,0,0
2010020249,"ASIM UNIFORM",,,,0,0
2010020250,"PAKISTAN OIL MILLS (ABDUL WAHEED)",,,,0,0
2010020251,"REHAN CHICKEN (SHAHAN)",,,,0,0
2010020252,"SHANI LIVE KARAHI (ZEESHAN)",,,,0,0
2010020253,"RAJA POULTARY FARM (WAHEED)",,,,0,0
2010020254,"AGHA TEA",,,,0,0
2010020255,"AHMED LPG",,,,0,0
2010020256,"A.H DESSERT",,,,0,0
2010020257,"FIFO SWEETS",,,,0,0
2010020258,"THE IDEAL TEA AND JUICE BAR",,,,0,0
2010020259,"KAMRAN BEEF KHATRI",,,,0,0
2010020260,"FAISAL BEEF COUNTER (KHATRI)",,,,0,0
2010020261,"YAHYA MASALA",,,,0,0
2010020262,"AL-REMANI TRADER (HANDI)",,,,0,0
2010020263,"A.WALA SHEERMAAL",,,,0,0
2010020264,"AB CHICKEN NEW",,,,0,0
2010020265,"MATKA CARTON (YOUSUF SHOAIB)",,,,0,0
2010020266,"IQBAL MASALA (NEW KARACHI)",,,,0,0
