order_item_id,item_id,qty,consume,fixed
102,183,10,0.02,NO
102,202,10,0.1,NO
128,11,10,3,NO
128,12,10,0.2,NO
128,33,10,0.1,NO
128,62,10,0.005,NO
128,83,10,0.15,NO
128,93,10,3.5,NO
128,98,10,0.005,NO
128,103,10,0.08,NO
128,106,10,0.005,NO
128,110,10,3,NO
128,140,10,0.005,NO
128,202,10,0.025,NO
131,11,10,0.25,NO
131,12,10,0.15,NO
131,16,10,2,NO
131,22,10,0.25,NO
131,33,10,0.1,NO
131,61,10,0.005,NO
131,62,10,0.005,NO
131,83,10,0.15,NO
131,93,10,1,NO
131,110,10,3,NO
131,185,10,0.015,NO
131,202,10,0.02,NO
131,207,10,0.02,NO
131,208,10,4,NO
136,8,10,10,NO
136,9,10,1.5,NO
136,10,10,5,NO
136,11,10,3,NO
136,12,10,0.15,NO
136,14,10,5,NO
136,16,10,5,NO
136,33,10,0.1,NO
136,39,10,0.25,NO
136,60,10,0.05,NO
136,62,10,0.005,NO
136,72,10,0.025,NO
136,82,10,0.025,NO
136,83,10,0.15,NO
136,85,10,0.1,NO
136,93,10,1.5,NO
136,98,10,0.005,NO
136,105,10,0.01,NO
136,106,10,0.005,NO
136,110,10,2,NO
136,120,10,0.005,NO
136,125,10,0.01,NO
136,140,10,0.005,NO
136,182,10,0.001,NO
136,184,10,0.01,NO
136,202,10,0.1,NO
164,8,10,10,NO
164,11,10,1,NO
164,12,10,0.15,NO
164,33,10,0.1,NO
164,62,10,0.005,NO
164,83,10,0.2,NO
164,85,10,0.1,NO
164,93,10,1.5,NO
164,96,10,3,NO
164,98,10,0.005,NO
164,104,10,0.015,NO
164,105,10,0.01,NO
164,110,10,2,NO
164,113,10,0.03,NO
164,140,10,0.005,NO
164,163,10,0.01,NO
164,171,10,0.005,NO
164,183,10,0.02,NO
164,202,10,0.1,NO
196,11,10,3,NO
196,12,10,0.2,NO
196,33,10,0.1,NO
196,51,10,0.25,NO
196,62,10,0.005,NO
196,84,10,0.1,NO
196,93,10,3.5,NO
196,98,10,0.005,NO
196,103,10,0.08,NO
196,106,10,0.005,NO
196,110,10,3,NO
196,120,10,0.005,NO
196,140,10,0.005,NO
196,202,10,0.025,NO
197,11,10,3,NO
197,12,10,0.2,NO
197,33,10,0.1,NO
197,51,10,0.25,NO
197,62,10,0.005,NO
197,84,10,0.1,NO
197,93,10,3.5,NO
197,98,10,0.005,NO
197,103,10,0.08,NO
197,106,10,0.005,NO
197,110,10,3,NO
197,120,10,0.005,NO
197,140,10,0.005,NO
197,202,10,0.025,NO
198,9,10,4,NO
198,11,10,0.25,NO
198,12,10,0.15,NO
198,16,10,2,NO
198,33,10,0.1,NO
198,61,10,0.005,NO
198,62,10,0.005,NO
198,82,10,0.025,NO
198,83,10,0.1,NO
198,93,10,1,NO
198,110,10,3,NO
198,120,10,0.005,NO
198,185,10,0.015,NO
198,202,10,0.02,NO
198,207,10,0.02,NO
219,8,10,10,NO
219,11,10,1,NO
219,12,10,0.15,NO
219,33,10,0.1,NO
219,62,10,0.005,NO
219,83,10,0.2,NO
219,85,10,0.1,NO
219,93,10,1.5,NO
219,98,10,0.005,NO
219,104,10,0.015,NO
219,105,10,0.01,NO
219,110,10,2,NO
219,113,10,0.03,NO
219,140,10,0.005,NO
219,163,10,0.01,NO
219,171,10,0.005,NO
219,183,10,0.02,NO
219,202,10,0.1,NO
227,11,10,0.25,NO
227,12,10,0.15,NO
227,16,10,2,NO
227,22,10,0.25,NO
227,33,10,0.1,NO
227,61,10,0.005,NO
227,62,10,0.005,NO
227,83,10,0.15,NO
227,93,10,1,NO
227,110,10,3,NO
227,185,10,0.015,NO
227,202,10,0.02,NO
227,207,10,0.02,NO
227,208,10,4,NO
228,11,10,0.25,NO
228,12,10,0.15,NO
228,16,10,2,NO
228,22,10,0.25,NO
228,33,10,0.1,NO
228,61,10,0.005,NO
228,62,10,0.005,NO
228,83,10,0.15,NO
228,93,10,1,NO
228,110,10,3,NO
228,185,10,0.015,NO
228,202,10,0.02,NO
228,207,10,0.02,NO
228,208,10,4,NO
247,8,10,10,NO
247,9,10,1.5,NO
247,11,10,3,NO
247,12,10,0.15,NO
247,14,10,5,NO
247,16,10,5,NO
247,33,10,0.1,NO
247,39,10,0.25,NO
247,60,10,0.05,NO
247,62,10,0.005,NO
247,72,10,0.025,NO
247,82,10,0.025,NO
247,83,10,0.15,NO
247,85,10,0.1,NO
247,93,10,1.5,NO
247,98,10,0.005,NO
247,105,10,0.01,NO
247,106,10,0.005,NO
247,110,10,2,NO
247,120,10,0.005,NO
247,125,10,0.01,NO
247,140,10,0.005,NO
247,182,10,0.001,NO
247,184,10,0.01,NO
247,202,10,0.1,NO
250,9,10,4,NO
250,11,10,0.25,NO
250,12,10,0.15,NO
250,16,10,2,NO
250,33,10,0.1,NO
250,61,10,0.005,NO
250,62,10,0.005,NO
250,82,10,0.025,NO
250,83,10,0.1,NO
250,93,10,1,NO
250,110,10,3,NO
250,120,10,0.005,NO
250,185,10,0.015,NO
250,202,10,0.02,NO
250,207,10,0.02,NO
252,8,10,10,NO
252,11,10,1,NO
252,12,10,0.15,NO
252,33,10,0.1,NO
252,62,10,0.005,NO
252,67,10,3,NO
252,83,10,0.2,NO
252,85,10,0.1,NO
252,93,10,1.5,NO
252,98,10,0.005,NO
252,104,10,0.015,NO
252,105,10,0.01,NO
252,110,10,2,NO
252,113,10,0.03,NO
252,140,10,0.005,NO
252,163,10,0.01,NO
252,171,10,0.005,NO
252,183,10,0.02,NO
252,202,10,0.1,NO
255,11,10,0.25,NO
255,12,10,0.15,NO
255,16,10,2,NO
255,22,10,0.25,NO
255,33,10,0.1,NO
255,61,10,0.005,NO
255,62,10,0.005,NO
255,83,10,0.15,NO
255,93,10,1,NO
255,110,10,3,NO
255,185,10,0.015,NO
255,202,10,0.02,NO
255,207,10,0.02,NO
255,208,10,4,NO
258,9,10,4,NO
258,11,10,0.25,NO
258,12,10,0.15,NO
258,16,10,2,NO
258,33,10,0.1,NO
258,61,10,0.005,NO
258,62,10,0.005,NO
258,82,10,0.025,NO
258,83,10,0.1,NO
258,93,10,1,NO
258,110,10,3,NO
258,120,10,0.005,NO
258,185,10,0.015,NO
258,202,10,0.02,NO
258,207,10,0.02,NO
260,8,10,10,NO
260,9,10,1.5,NO
260,11,10,3,NO
260,12,10,0.15,NO
260,14,10,5,NO
260,16,10,5,NO
260,33,10,0.1,NO
260,39,10,0.25,NO
260,60,10,0.05,NO
260,62,10,0.005,NO
260,67,10,3,NO
260,72,10,0.025,NO
260,82,10,0.025,NO
260,83,10,0.15,NO
260,85,10,0.1,NO
260,93,10,1.5,NO
260,98,10,0.005,NO
260,105,10,0.01,NO
260,106,10,0.005,NO
260,110,10,2,NO
260,120,10,0.005,NO
260,125,10,0.01,NO
260,140,10,0.005,NO
260,182,10,0.001,NO
260,184,10,0.01,NO
260,202,10,0.1,NO
265,8,10,10,NO
265,10,10,3,NO
265,11,10,1,NO
265,12,10,0.15,NO
265,15,10,2,NO
265,20,10,2,NO
265,31,10,4,NO
265,33,10,0.1,NO
265,62,10,0.005,NO
265,83,10,0.2,NO
265,85,10,0.1,NO
265,93,10,1.5,NO
265,98,10,0.005,NO
265,104,10,0.015,NO
265,105,10,0.01,NO
265,110,10,2,NO
265,113,10,0.03,NO
265,140,10,0.005,NO
265,163,10,0.01,NO
265,171,10,0.005,NO
265,183,10,0.02,NO
265,202,10,0.1,NO
275,8,10,10,NO
275,11,10,1,NO
275,12,10,0.15,NO
275,20,10,3,NO
275,33,10,0.1,NO
275,51,10,0.5,NO
275,62,10,0.005,NO
275,83,10,0.2,NO
275,85,10,0.1,NO
275,93,10,1.5,NO
275,98,10,0.005,NO
275,104,10,0.015,NO
275,105,10,0.01,NO
275,110,10,2,NO
275,113,10,0.03,NO
275,137,10,0.5,NO
275,140,10,0.005,NO
275,163,10,0.01,NO
275,171,10,0.005,NO
275,183,10,0.02,NO
275,202,10,0.1,NO
283,11,10,3,NO
283,12,10,0.2,NO
283,33,10,0.1,NO
283,62,10,0.005,NO
283,83,10,0.15,NO
283,93,10,3.5,NO
283,98,10,0.005,NO
283,103,10,0.08,NO
283,106,10,0.005,NO
283,110,10,3,NO
283,140,10,0.005,NO
283,202,10,0.025,NO
285,9,10,1.5,NO
285,11,10,3,NO
285,12,10,0.2,NO
285,16,10,2,NO
285,33,10,0.1,NO
285,61,10,0.005,NO
285,81,10,0.005,NO
285,83,10,0.2,NO
285,85,10,0.02,NO
285,93,10,1.5,NO
285,98,10,0.005,NO
285,104,10,0.01,NO
285,105,10,0.005,NO
285,110,10,3,NO
285,120,10,0.005,NO
285,140,10,0.005,NO
285,184,10,0.01,NO
285,202,10,0.02,NO
293,9,10,4,NO
293,11,10,0.25,NO
293,12,10,0.15,NO
293,16,10,2,NO
293,33,10,0.1,NO
293,61,10,0.005,NO
293,62,10,0.005,NO
293,82,10,0.025,NO
293,83,10,0.1,NO
293,93,10,1,NO
293,110,10,3,NO
293,120,10,0.005,NO
293,185,10,0.015,NO
293,202,10,0.02,NO
293,207,10,0.02,NO
302,11,10,3,NO
302,12,10,0.2,NO
302,33,10,0.1,NO
302,62,10,0.005,NO
302,83,10,0.15,NO
302,93,10,3.5,NO
302,98,10,0.005,NO
302,103,10,0.08,NO
302,106,10,0.005,NO
302,110,10,3,NO
302,140,10,0.005,NO
302,202,10,0.025,NO
304,8,10,10,NO
304,11,10,1,NO
304,12,10,0.15,NO
304,33,10,0.1,NO
304,62,10,0.005,NO
304,83,10,0.2,NO
304,85,10,0.1,NO
304,93,10,1.5,NO
304,98,10,0.005,NO
304,104,10,0.015,NO
304,105,10,0.01,NO
304,110,10,2,NO
304,113,10,0.03,NO
304,140,10,0.005,NO
304,163,10,0.01,NO
304,171,10,0.005,NO
304,183,10,0.02,NO
304,202,10,0.1,NO
312,8,10,10,NO
312,10,10,3,NO
312,11,10,1,NO
312,12,10,0.15,NO
312,33,10,0.1,NO
312,62,10,0.005,NO
312,83,10,0.2,NO
312,85,10,0.1,NO
312,93,10,1.5,NO
312,98,10,0.005,NO
312,104,10,0.015,NO
312,105,10,0.01,NO
312,110,10,2,NO
312,113,10,0.03,NO
312,140,10,0.005,NO
312,163,10,0.01,NO
312,171,10,0.005,NO
312,183,10,0.02,NO
312,202,10,0.1,NO
314,9,10,4,NO
314,11,10,0.25,NO
314,12,10,0.15,NO
314,16,10,2,NO
314,33,10,0.1,NO
314,61,10,0.005,NO
314,62,10,0.005,NO
314,82,10,0.025,NO
314,83,10,0.1,NO
314,93,10,1,NO
314,110,10,3,NO
314,120,10,0.005,NO
314,185,10,0.015,NO
314,202,10,0.02,NO
314,207,10,0.02,NO
318,8,10,10,NO
318,9,10,1.5,NO
318,11,10,3,NO
318,12,10,0.15,NO
318,14,10,5,NO
318,16,10,5,NO
318,33,10,0.1,NO
318,39,10,0.25,NO
318,60,10,0.05,NO
318,62,10,0.005,NO
318,72,10,0.025,NO
318,82,10,0.025,NO
318,83,10,0.15,NO
318,85,10,0.1,NO
318,93,10,1.5,NO
318,98,10,0.005,NO
318,105,10,0.01,NO
318,106,10,0.005,NO
318,110,10,2,NO
318,120,10,0.005,NO
318,125,10,0.01,NO
318,140,10,0.005,NO
318,182,10,0.001,NO
318,184,10,0.01,NO
318,202,10,0.1,NO
322,8,10,10,NO
322,9,10,1.5,NO
322,11,10,3,NO
322,12,10,0.15,NO
322,14,10,5,NO
322,16,10,5,NO
322,33,10,0.1,NO
322,39,10,0.25,NO
322,60,10,0.05,NO
322,62,10,0.005,NO
322,72,10,0.025,NO
322,82,10,0.025,NO
322,83,10,0.15,NO
322,85,10,0.1,NO
322,93,10,1.5,NO
322,96,10,3,NO
322,98,10,0.005,NO
322,105,10,0.01,NO
322,106,10,0.005,NO
322,110,10,2,NO
322,120,10,0.005,NO
322,125,10,0.01,NO
322,140,10,0.005,NO
322,182,10,0.001,NO
322,184,10,0.01,NO
322,202,10,0.1,NO
